city,year,onehw,twohw,threehw,fourhw
Pittsburg,2016,25.0,30.58,40.96,47.5
Pittsburg,2017,34.42,42.12,56.35,67.31
Pittsburg,2018,32.69,41.15,56.73,69.62
Pittsburg,2019,32.12,40.38,55.77,68.46
Pleasant Hill,2011,26.92,31.73,42.69,50.0
Pleasant Hill,2012,26.73,31.73,43.08,53.27
Pleasant Hill,2013,24.42,30.19,41.35,49.62
Pleasant Hill,2014,25.38,31.35,42.88,51.54
Pleasant Hill,2015,26.73,33.08,45.38,54.23
Pleasant Hill,2016,28.27,34.62,46.35,53.85
Pleasant Hill,2017,39.42,48.08,64.42,76.92
Pleasant Hill,2018,39.62,49.81,68.85,84.42
Pleasant Hill,2019,36.54,45.58,62.69,76.92
Pleasanton,2011,30.29,35.58,47.89,55.96
Pleasanton,2012,30.0,35.58,48.17,59.72
Pleasanton,2013,27.31,33.66,46.16,55.19
Pleasanton,2014,28.46,35.1,48.08,57.7
Pleasanton,2015,29.9,36.92,50.48,60.67
Pleasanton,2016,31.83,39.04,52.31,60.67
Pleasanton,2017,44.23,54.04,72.4,86.44
Pleasanton,2018,46.92,58.94,81.44,99.81
Pleasanton,2019,43.56,54.23,74.62,91.54
Port Costa,2011,25.0,29.42,39.62,46.35
Port Costa,2012,24.81,29.42,39.81,49.42
Port Costa,2013,22.5,27.69,37.88,45.38
Port Costa,2014,23.27,28.85,39.42,47.31
Port Costa,2015,24.62,30.38,41.54,49.81
Port Costa,2016,26.35,32.31,43.27,50.19
Port Costa,2017,23.27,28.46,38.08,45.58
Port Costa,2018,29.81,37.69,52.31,60.19
Port Costa,2019,32.12,40.38,55.77,68.46
Portola Valley,2011,27.88,32.88,44.23,51.73
Portola Valley,2012,27.69,32.88,44.62,55.19
Portola Valley,2013,25.0,30.96,42.31,50.77
Portola Valley,2014,26.15,32.31,44.23,53.08
Portola Valley,2015,27.5,34.04,46.54,55.96
Portola Valley,2016,26.73,32.88,44.04,51.15
Portola Valley,2017,40.0,48.85,65.58,78.08
Portola Valley,2018,48.27,60.38,78.65,83.85
Portola Valley,2019,44.42,55.0,71.92,76.35
Redwood City,2011,26.01,30.62,41.2,48.22
Redwood City,2012,25.86,30.62,41.49,51.44
Redwood City,2013,22.98,28.41,38.89,46.64
Redwood City,2014,23.99,29.62,40.57,48.66
Redwood City,2015,25.29,31.2,42.69,51.25
Redwood City,2016,30.34,37.26,49.9,57.88
Redwood City,2017,44.86,54.81,73.46,87.69
Redwood City,2018,52.93,66.01,86.06,94.47
Redwood City,2019,49.23,61.2,80.05,85.1
Richmond,2011,23.33,27.43,36.86,43.14
Richmond,2012,21.99,26.03,35.32,43.65
Richmond,2013,20.13,24.87,34.04,40.83
Richmond,2014,20.9,25.83,35.38,42.44
Richmond,2015,21.99,27.18,37.18,44.62
Richmond,2016,22.31,27.37,36.67,42.5
Richmond,2017,30.51,37.24,49.87,59.55
Richmond,2018,31.09,39.1,54.1,65.06
Richmond,2019,32.12,40.38,55.77,68.46
Rio Vista,2011,15.96,19.42,28.08,32.12
Rio Vista,2012,14.81,18.08,26.15,29.81
Rio Vista,2013,15.0,18.85,27.69,33.46
Rio Vista,2014,14.81,18.65,27.5,33.08
Rio Vista,2015,15.0,18.85,27.69,33.46
Rio Vista,2016,17.5,22.12,32.31,38.65
Rio Vista,2017,17.31,21.73,31.54,38.27
Rio Vista,2018,19.42,24.04,35.0,42.31
Rio Vista,2019,21.73,26.54,38.46,46.54
Rodeo,2011,25.0,29.42,39.62,46.35
Rodeo,2012,17.12,20.38,27.69,34.23
Rodeo,2013,17.12,21.15,29.04,34.81
Rodeo,2014,17.69,21.92,30.0,35.96
Rodeo,2015,18.65,23.08,31.54,37.88
Rodeo,2016,21.54,26.35,35.38,40.96
Rodeo,2017,30.58,37.31,50.0,59.62
Rodeo,2018,31.15,39.04,53.85,66.15
Rodeo,2019,32.12,40.38,55.77,68.46
San Anselmo,2011,27.5,32.31,43.46,50.77
San Anselmo,2012,27.31,32.31,43.85,54.23
San Anselmo,2013,25.0,30.77,42.12,50.58
San Anselmo,2014,25.77,31.92,43.65,52.5
San Anselmo,2015,27.31,33.65,46.15,55.19
San Anselmo,2016,30.19,36.92,49.42,57.31
San Anselmo,2017,38.65,47.31,63.46,75.77
San Anselmo,2018,46.35,57.69,75.38,83.65
San Anselmo,2019,43.27,54.04,70.58,75.38
San Bruno,2011,28.46,33.46,45.0,52.69
San Bruno,2012,28.27,33.46,45.38,56.15
San Bruno,2013,25.0,30.77,42.12,50.58
San Bruno,2014,25.96,32.12,44.04,52.69
San Bruno,2015,27.5,33.85,46.35,55.58
San Bruno,2016,30.58,37.5,50.19,58.27
San Bruno,2017,40.38,49.23,65.96,78.85
San Bruno,2018,48.85,60.96,79.62,84.81
San Bruno,2019,44.04,55.0,71.73,76.35
San Carlos,2011,29.81,35.0,47.12,55.0
San Carlos,2012,29.62,35.0,47.5,58.85
San Carlos,2013,25.0,30.77,42.12,50.58
San Carlos,2014,25.96,32.12,44.04,52.69
San Carlos,2015,27.5,33.85,46.35,55.58
San Carlos,2016,29.42,36.15,48.46,56.15
San Carlos,2017,39.04,47.69,63.85,76.35
San Carlos,2018,51.35,64.04,83.46,89.04
San Carlos,2019,47.31,58.65,76.92,81.35
San Francisco,2011,27.34,32.16,43.27,50.6
San Francisco,2012,27.19,32.21,43.67,54.1
San Francisco,2013,24.45,30.19,41.34,49.59
San Francisco,2014,25.45,31.42,43.0,51.63
San Francisco,2015,26.79,33.1,45.33,54.33
San Francisco,2016,31.32,38.41,51.45,59.7
San Francisco,2017,44.17,53.95,72.28,86.32
San Francisco,2018,53.39,66.67,86.87,95.82
San Francisco,2019,49.98,62.22,81.26,86.48
San Geronimo,2011,29.81,35.0,47.12,55.0
San Geronimo,2012,29.62,35.0,47.5,58.85
San Geronimo,2013,26.92,33.27,45.58,54.62
San Geronimo,2014,28.08,34.62,47.31,56.92
San Geronimo,2015,29.42,36.35,49.81,59.62
San Geronimo,2016,41.15,50.58,67.69,78.65
San Geronimo,2017,71.35,87.12,116.73,139.42
San Geronimo,2018,48.85,60.96,79.62,84.81
San Geronimo,2019,44.04,55.0,71.73,76.35
San Jose,2011,34.42,41.35,59.42,65.19
San Jose,2012,35.38,39.42,55.77,69.23
San Jose,2013,30.19,38.46,54.23,66.15
San Jose,2014,30.96,39.42,55.58,67.88
San Jose,2015,33.85,43.27,60.96,74.42
San Jose,2016,45.58,56.92,78.65,88.46
San Jose,2017,50.96,63.46,87.12,101.35
San Jose,2018,58.65,72.69,100.0,113.65
San Jose,2019,63.85,78.27,105.58,121.15
San Leandro,2011,24.68,29.04,39.04,45.64
San Leandro,2012,23.53,27.88,37.82,46.79
San Leandro,2013,21.03,25.9,35.45,42.5
San Leandro,2014,21.86,26.92,36.86,44.23
San Leandro,2015,23.01,28.4,38.85,46.67
San Leandro,2016,24.3,29.81,39.94,46.35
San Leandro,2017,33.59,41.03,55.0,65.58
San Leandro,2018,36.6,45.96,63.46,77.82
San Leandro,2019,33.53,41.99,57.95,71.09
San Lorenzo,2011,23.46,27.5,36.92,43.27
San Lorenzo,2012,25.58,30.19,40.96,50.77
San Lorenzo,2013,21.54,26.54,36.35,43.65
San Lorenzo,2014,22.31,27.5,37.69,45.19
San Lorenzo,2015,23.46,29.04,39.81,47.69
San Lorenzo,2016,27.69,34.04,45.58,52.88
San Lorenzo,2017,37.88,46.35,62.12,74.23
San Lorenzo,2018,37.88,47.69,65.77,80.77
San Lorenzo,2019,34.23,43.08,59.23,72.69
San Mateo,2011,30.43,35.87,48.27,56.4
San Mateo,2012,30.24,35.87,48.6,60.19
San Mateo,2013,27.5,33.94,46.44,55.72
San Mateo,2014,28.65,35.34,48.42,58.03
San Mateo,2015,30.14,37.21,50.96,61.11
San Mateo,2016,33.32,40.91,54.86,63.56
San Mateo,2017,48.27,58.94,78.94,94.33
San Mateo,2018,55.58,69.38,90.44,96.39
San Mateo,2019,53.18,65.96,86.25,91.39
San Pablo,2011,22.88,26.92,36.15,42.31
San Pablo,2012,22.31,26.35,35.77,44.23
San Pablo,2013,20.0,24.62,33.65,40.38
San Pablo,2014,20.77,25.58,35.0,41.92
San Pablo,2015,21.73,26.92,36.92,44.23
San Pablo,2016,22.69,27.88,37.31,43.27
San Pablo,2017,30.96,37.88,50.77,60.58
San Pablo,2018,32.5,40.77,56.35,69.04
San Pablo,2019,32.12,40.38,55.77,68.46
San Quentin,2011,29.81,35.0,47.12,55.0
San Quentin,2012,32.88,39.04,52.88,65.58
San Quentin,2013,26.92,33.27,45.58,54.62
San Quentin,2014,28.08,34.62,47.31,56.92
San Quentin,2015,29.42,36.35,49.81,59.62
San Quentin,2016,31.54,38.65,51.73,60.0
San Quentin,2017,41.15,50.19,67.31,80.38
San Quentin,2018,48.85,60.96,79.62,84.81
San Quentin,2019,44.04,55.0,71.73,76.35
San Rafael,2011,28.85,33.84,45.58,53.18
San Rafael,2012,28.65,33.94,46.06,57.02
San Rafael,2013,26.35,32.5,44.52,53.36
San Rafael,2014,27.4,33.75,46.25,55.48
San Rafael,2015,28.75,35.58,48.75,58.46
San Rafael,2016,30.29,37.11,49.72,57.7
San Rafael,2017,39.52,48.27,64.62,77.31
San Rafael,2018,50.2,62.7,81.73,88.08
San Rafael,2019,45.77,57.02,74.42,79.32
San Ramon,2011,30.38,35.77,48.08,56.35
San Ramon,2012,30.19,35.77,48.46,60.0
San Ramon,2013,27.31,33.65,46.15,55.19
San Ramon,2014,28.27,35.0,47.88,57.5
San Ramon,2015,30.0,36.92,50.58,60.58
San Ramon,2016,32.31,39.62,53.08,61.54
San Ramon,2017,44.62,54.42,72.88,87.12
San Ramon,2018,45.77,57.5,79.42,97.31
San Ramon,2019,42.31,52.69,72.5,88.85
Sausalito,2011,34.23,40.19,54.04,63.27
Sausalito,2012,33.85,40.19,54.42,67.5
Sausalito,2013,32.5,40.19,55.0,65.96
Sausalito,2014,33.85,41.73,57.12,68.46
Sausalito,2015,35.58,44.04,60.38,72.31
Sausalito,2016,35.96,44.04,59.04,68.46
Sausalito,2017,46.35,56.54,75.77,90.38
Sausalito,2018,53.65,66.92,87.31,93.08
Sausalito,2019,48.46,60.38,78.65,83.85
Sonoma,2011,20.96,27.12,37.5,42.69
Sonoma,2012,19.42,25.19,34.81,39.62
Sonoma,2013,18.65,25.0,35.58,35.0
Sonoma,2014,20.19,27.12,38.65,38.08
Sonoma,2015,21.73,29.04,41.35,40.77
Sonoma,2016,21.92,28.85,41.35,45.58
Sonoma,2017,23.46,30.58,44.42,49.62
Sonoma,2018,28.08,36.35,53.08,64.23
Sonoma,2019,28.65,37.31,54.04,65.19
South San Francisco,2011,27.12,31.92,42.88,50.19
South San Francisco,2012,26.92,31.92,43.27,53.65
South San Francisco,2013,25.0,30.96,42.31,50.77
South San Francisco,2014,26.15,32.31,44.23,53.08
South San Francisco,2015,27.5,34.04,46.54,55.96
South San Francisco,2016,28.65,35.19,47.12,54.62
South San Francisco,2017,37.5,45.77,61.35,73.27
South San Francisco,2018,43.27,54.04,70.58,83.65
South San Francisco,2019,43.27,54.04,70.58,75.38
Stanford,2011,24.62,29.62,42.5,46.73
Stanford,2012,23.85,26.54,37.69,46.54
Stanford,2013,20.77,26.54,37.5,45.77
Stanford,2014,21.35,27.31,38.46,46.92
Stanford,2015,23.46,29.81,42.12,51.35
Stanford,2016,26.15,32.5,45.0,50.58
Stanford,2017,30.19,37.5,51.35,59.81
Stanford,2018,34.42,42.69,58.85,66.73
Stanford,2019,36.92,45.19,60.96,70.0
Stinson Beach,2011,29.81,35.0,47.12,55.0
Stinson Beach,2012,29.62,35.0,47.5,58.85
Stinson Beach,2013,26.92,33.27,45.58,54.62
Stinson Beach,2014,28.08,34.62,47.31,56.92
Stinson Beach,2015,29.42,36.35,49.81,59.62
Stinson Beach,2016,41.15,50.58,67.69,78.65
Stinson Beach,2017,71.35,87.12,116.73,139.42
Stinson Beach,2018,72.12,90.0,117.31,125.0
Stinson Beach,2019,65.38,81.15,106.15,112.5
Suisun City,2011,25.19,28.85,40.38,49.81
Suisun City,2012,24.42,28.08,39.42,48.46
Suisun City,2013,20.38,25.58,37.69,44.81
Suisun City,2014,20.38,25.58,37.69,44.81
Suisun City,2015,21.15,26.54,39.04,46.54
Suisun City,2016,22.5,28.27,41.15,49.42
Suisun City,2017,22.12,27.69,40.38,48.85
Suisun City,2018,24.23,29.81,43.46,52.69
Suisun City,2019,26.73,32.5,46.92,56.92
Sunnyvale,2011,28.61,34.33,49.23,54.18
Sunnyvale,2012,29.42,32.74,46.4,57.4
Sunnyvale,2013,25.38,32.4,45.72,55.82
Sunnyvale,2014,26.01,33.17,46.78,57.12
Sunnyvale,2015,28.51,36.35,51.3,62.6
Sunnyvale,2016,31.11,38.8,53.6,60.29
Sunnyvale,2017,35.29,43.94,60.24,70.14
Sunnyvale,2018,43.32,53.84,74.04,84.18
Sunnyvale,2019,47.36,58.08,78.37,89.86
Sunol,2011,23.46,27.5,36.92,43.27
Sunol,2012,28.65,34.04,46.15,57.12
Sunol,2013,28.08,34.62,47.31,56.92
Sunol,2014,29.04,35.96,49.23,59.04
Sunol,2015,30.77,37.88,51.92,62.31
Sunol,2016,30.96,38.08,50.96,59.23
Sunol,2017,40.58,49.62,66.54,79.42
Sunol,2018,38.65,48.46,67.12,82.31
Sunol,2019,34.81,43.65,60.58,74.23
Travis Afb,2011,21.15,24.23,34.04,41.92
Travis Afb,2012,28.08,32.12,45.0,55.38
Travis Afb,2013,26.92,33.65,49.62,59.04
Travis Afb,2014,26.73,33.46,49.23,58.65
Travis Afb,2015,27.69,34.81,51.35,60.96
Travis Afb,2016,27.69,34.81,50.77,60.77
Travis Afb,2017,26.54,33.27,48.46,58.65
Travis Afb,2018,28.27,35.0,50.96,61.54
Travis Afb,2019,30.38,36.92,53.46,64.81
Union City,2011,25.58,30.0,40.38,47.12
Union City,2012,25.38,30.0,40.77,50.38
Union City,2013,23.27,28.65,39.23,47.12
Union City,2014,24.23,29.81,40.77,49.04
Union City,2015,25.58,31.54,43.27,51.73
Union City,2016,27.12,33.27,44.62,51.73
Union City,2017,38.08,46.54,62.31,74.42
Union City,2018,39.23,49.42,68.27,83.65
Union City,2019,35.96,44.81,61.73,75.58
Vallejo,2011,21.06,24.95,34.86,42.06
Vallejo,2012,20.05,23.7,33.08,39.9
Vallejo,2013,17.88,22.84,33.32,37.84
Vallejo,2014,17.84,22.79,33.27,37.55
Vallejo,2015,18.46,23.08,33.99,40.43
Vallejo,2016,19.95,25.72,37.16,42.5
Vallejo,2017,20.53,26.3,38.22,44.18
Vallejo,2018,24.62,30.62,44.57,53.46
Vallejo,2019,26.64,32.45,46.88,56.87
Walnut Creek,2011,26.47,31.09,41.79,48.91
Walnut Creek,2012,26.41,31.22,42.37,52.44
Walnut Creek,2013,24.29,30.0,41.09,49.3
Walnut Creek,2014,25.32,31.22,42.69,51.28
Walnut Creek,2015,26.6,32.88,45.0,54.04
Walnut Creek,2016,28.01,34.36,46.02,53.46
Walnut Creek,2017,38.72,47.31,63.33,75.7
Walnut Creek,2018,41.16,51.67,71.34,87.5
Walnut Creek,2019,38.08,47.43,65.38,80.13
Woodacre,2011,29.81,35.0,47.12,55.0
Woodacre,2012,29.62,35.0,47.5,58.85
Woodacre,2013,26.92,33.27,45.58,54.62
Woodacre,2014,28.08,34.62,47.31,56.92
Woodacre,2015,29.42,36.35,49.81,59.62
Woodacre,2016,31.54,38.65,51.73,60.0
Woodacre,2017,41.15,50.19,67.31,80.38
Woodacre,2018,70.58,88.08,114.81,122.31
Woodacre,2019,63.65,79.42,103.46,110.19
